"Date","Price","Open","High","Low","Vol.","Change %"
"2024-03-15","1,263.78","1,264.26","1,271.63","1,252.36","1.07M","-0.04%"
"2024-03-14","1,264.26","1,270.51","1,276.41","1,258.67","1.06M","-0.49%"
"2024-03-13","1,270.51","1,245.00","1,270.51","1,245.00","982.23K","2.05%"
"2024-03-12","1,245.00","1,235.49","1,248.33","1,233.14","836.22K","0.77%"
"2024-03-11","1,235.49","1,247.35","1,254.01","1,233.49","975.99K","-0.95%"
"2024-03-08","1,247.35","1,268.46","1,274.30","1,247.35","1.35M","-1.66%"
"2024-03-07","1,268.46","1,262.73","1,269.88","1,260.24","1.02M","0.45%"
"2024-03-06","1,262.73","1,269.98","1,277.51","1,256.30","1.06M","-0.57%"
"2024-03-05","1,269.98","1,261.41","1,269.98","1,257.81","1.01M","0.68%"
"2024-03-04","1,261.41","1,258.28","1,268.25","1,256.54","1.18M","0.25%"
"2024-03-01","1,258.28","1,256.72","1,258.76","1,247.87","961.93K","0.44%"
"2024-02-29","1,252.73","1,254.55","1,264.39","1,247.70","1.09M","-0.15%"
"2024-02-28","1,254.55","1,237.46","1,254.55","1,236.32","970.76K","1.38%"
"2024-02-27","1,237.46","1,224.17","1,237.60","1,224.17","986.85K","1.09%"
"2024-02-26","1,224.17","1,212.00","1,225.21","1,210.52","889.75K","1.00%"
"2024-02-23","1,212.00","1,227.31","1,240.81","1,211.55","1.39M","-1.25%"
"2024-02-22","1,227.31","1,230.04","1,232.09","1,226.15","840.41K","-0.22%"
"2024-02-21","1,230.04","1,230.06","1,234.22","1,222.92","988.85K","0.00%"
"2024-02-20","1,230.06","1,224.97","1,230.47","1,222.66","939.95K","0.42%"
"2024-02-19","1,224.97","1,209.70","1,225.48","1,209.70","1.05M","1.26%"
"2024-02-16","1,209.70","1,202.50","1,210.25","1,202.50","822.64K","0.60%"
"2024-02-15","1,202.50","1,203.08","1,207.56","1,198.81","868.72K","0.33%"
