Date,Open,High,Low,Close,Adj Close,Volume
1995-02-01,2.090722,2.253108,2.070423,2.232810,0.287291,48444000
1995-03-01,2.223066,2.253108,2.176256,2.217318,0.285297,49094000
1995-04-01,2.207463,2.319971,2.176256,2.269055,0.302500,46637600
1995-05-01,2.258379,2.371709,2.227994,2.371709,0.316185,37835200
1995-06-01,2.361033,2.484217,2.361033,2.458708,0.327784,64503600
1995-07-01,2.447920,2.479453,2.334237,2.375727,0.327008,46608800
1995-08-01,2.364940,2.489410,2.334237,2.427175,0.334089,40026400
1995-09-01,2.427175,2.468665,2.281960,2.369973,0.326216,35950800
1995-10-01,2.380880,2.516786,2.244134,2.422826,0.344789,114423200
1995-11-01,2.422826,2.527692,2.380880,2.432893,0.346222,54991600
1995-12-01,2.422826,2.553864,2.411920,2.521655,0.358854,46530000
1996-01-01,2.511483,2.733558,2.511483,2.669987,0.391932,60958800
1996-02-01,2.681006,2.702196,2.511483,2.606416,0.382600,49634800
1996-03-01,2.627606,2.681006,2.510636,2.632855,0.386481,44551600
1996-04-01,2.632855,2.708202,2.579770,2.641418,0.399573,41722400
1996-05-01,2.637136,2.838347,2.624293,2.829784,0.428067,57962800
1996-06-01,2.825503,2.889719,2.705634,2.871862,0.434432,87096400
1996-07-01,2.876187,2.928088,2.724809,2.850237,0.444369,69871600
1996-08-01,2.863212,2.967014,2.854562,2.932413,0.457181,43316000
1996-09-01,2.919438,3.447100,2.889163,3.368490,0.525168,63179600
1996-10-01,3.364127,3.700103,3.364127,3.687013,0.589764,85812800
1996-11-01,3.730646,4.188796,3.708830,4.075349,0.651881,74303600
1996-12-01,4.057896,4.127709,3.586656,4.001173,0.640016,54291200
1997-01-01,4.014263,4.214302,3.875574,4.187907,0.669885,76992000
1997-02-01,4.205504,4.724593,4.187907,4.583823,0.750684,78752800
1997-03-01,4.539832,5.050124,4.433095,4.503954,0.737603,74268000
1997-04-01,4.495097,4.707673,4.251520,4.698815,0.784415,88738800
1997-05-01,4.716530,5.225827,4.698815,5.070823,0.846518,76344000
1997-06-01,5.075252,5.493597,5.066395,5.391121,0.899988,66440400
1997-07-01,5.431220,5.903500,5.413399,5.881223,0.998765,58341600
1997-08-01,5.876768,6.077264,5.310923,5.342111,0.907212,64850400
1997-09-01,5.351022,5.925778,5.150526,5.903500,1.002549,65826400
1997-10-01,5.907956,6.102101,5.259814,5.568952,0.945735,93568400
1997-11-01,5.640636,5.967694,5.461426,5.591353,0.964505,73710400
1997-12-01,5.631675,6.209627,5.627195,6.034898,1.041016,57125600
1998-01-01,6.097996,6.354896,5.025326,5.755463,0.992814,104705600
1998-02-01,5.859124,6.517149,5.827575,6.327854,1.091551,69177600
1998-03-01,6.372924,7.021935,6.201657,6.931794,1.195731,55234000
1998-04-01,6.940808,8.100907,6.751514,7.113212,1.227024,68825800
1998-05-01,7.158519,7.385055,6.705448,7.067905,1.237150,39511800
1998-06-01,6.995414,7.086028,6.062088,6.596711,1.154673,65351200
1998-07-01,6.750756,7.115169,6.149474,6.185915,1.082768,53539400
1998-08-01,6.131253,6.195025,4.536945,4.700931,0.835212,76666800
1998-09-01,4.792034,5.192889,4.382069,4.555166,0.809314,75829200
1998-10-01,4.482283,6.063992,4.189667,5.916986,1.051268,68810000
1998-11-01,6.063992,6.670391,5.466780,6.174246,1.122981,59156600
1998-12-01,6.155870,6.495821,5.981301,6.240640,1.135056,36126200
1999-01-01,6.249886,6.545738,5.639690,6.009505,1.111841,52877800
1999-02-01,6.009505,6.249886,5.565727,5.759880,1.065657,56312600
1999-03-01,5.732144,6.138941,5.602708,5.926297,1.096446,41004000
1999-04-01,5.928158,6.868102,5.928158,6.449315,1.193212,58792800
1999-05-01,6.440009,6.533072,5.890933,6.030528,1.135855,38777200
1999-06-01,6.049141,6.142205,5.583822,5.956077,1.121833,29674600
1999-07-01,6.089101,6.426343,5.723755,5.873640,1.106306,27500200
1999-08-01,5.901744,6.416975,5.358409,6.070365,1.143358,38833200
1999-09-01,6.070365,6.182779,5.545766,5.901744,1.111599,38333000
1999-10-01,5.852657,6.400164,5.758259,6.343525,1.194809,33050800
1999-11-01,6.343525,6.437923,5.918735,6.003693,1.154271,41163200
1999-12-01,6.041452,6.088651,5.748820,5.906535,1.135592,38793400
2000-01-01,5.839955,6.011159,5.098072,5.621195,1.102703,52305000
2000-02-01,5.630706,5.820933,5.231230,5.307321,1.041131,48493800
2000-03-01,5.421457,6.011159,4.955402,5.571331,1.092922,66541400
2000-04-01,5.609688,6.549430,5.542563,6.472717,1.297443,66678800
2000-05-01,6.424771,7.326156,6.357646,7.143961,1.431993,64973200
2000-06-01,7.220675,7.489173,6.597376,7.007034,1.404546,54959200
2000-07-01,7.113201,7.373793,6.765745,7.248323,1.477801,35155000
2000-08-01,7.248323,7.644037,7.026337,7.460657,1.521093,43350000
2000-09-01,7.528218,8.599542,7.315884,8.500533,1.733104,45606400
2000-10-01,8.500533,8.869699,7.383320,8.451959,1.752800,62934000
2000-11-01,8.393669,8.927989,7.325031,7.480469,1.551328,52411800
