STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,TRADE_FLOW,Trade flow,PRODUCT_TYPE,Product type,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,PRICES,Prices,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-01,,0.0085,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-02,,-0.0014,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-03,,-0.0115,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-04,,-0.0305,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-05,,-0.0495,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-06,,-0.0079,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-07,,-0.0232,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-08,,-0.0196,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-09,,-0.0128,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-10,,-0.0647,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-11,,-0.0433,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1955-12,,0.0002,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1956-01,,-0.0333,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1956-02,,-0.0473,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1956-03,,-0.1231,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1956-04,,-0.1306,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_IMTS@DF_IMTS(1.0),International merchandise trade statistics,I,CAN,Canada,W,World,TB,Trade balance,C,Commodities,M,Monthly,XDC,National currency,N,Neither seasonally adjusted nor calendar adjusted,N,Non transformed data,1956-05,,-0.1016,,A,Normal value,9,Billions,CAD,Canadian dollar,V,Current prices,2,Two
